GEOID,County,PM2.5,Ozone,drinkw,pest,toxr,dieselpm,Traffic,Lead,cleanup,groundw,hazard,impwater,solidw,pollutionb,Asthma,lowbirth,cardiod,Education,lingisol,Poverty,Unemployment,houseburd,tpop,ageu10pop,age1064pop,age65pop,phisp,pwhite,pblack,pnative,pasian,urbid
6079010703,San Luis Obispo,7.553298967,0.035,368.46,518.11,29.1002263,0.046,614.8779077,39.49,0,0.2,0.3,8,0.2,28.99,47.9,4.48,8.79,18.4,9.8,41.4,1.6,Middle,3672,13.04,66.8,20.15,21.65,63.75,0.38,0.3,4.93,0
6037651401,Los Angeles,11.8333474,0.04,410.59,0,6703.376791,0.176,1143.327134,49.18,5,2.85,0.375,0,1.7,44.74,21.23,3.25,8.71,5.5,9.7,17.9,6.6,Middle,2521,10.59,64.97,24.43,9.2,59.34,0.75,0,28.16,1
6019005504,Fresno,13.16822606,0.062,733.95,1.94,1104.541026,0.089,210.5747685,11.99,0,0,0.2,0,0,37.71,23.42,5.63,7.91,5.4,10.1,15.8,5.5,Low,3384,15.34,75.38,9.28,18.56,52.6,2.93,0,22.4,1
6013321101,Contra Costa,8.7700797089999991,0.037,272.48,0,1464.863281,0.14,713.1179791,28.23,0,20.9,0.58,1,1,33.15,58.45,4.62,12.3,3.7,3.3,9.4,5,Low,6654,10.55,68.8,20.65,20.2,60.17,2.45,0.44,9.68,0
6075061500,San Francisco,8.64348771,0.029,258.79,0,408.9413249,2.019,2412.494424,6.43,36.85,17,7.71,16,0,47.28,27.78,5.9,5.41,3.2,3.7,15,4.2,Low,16968,6.83,84.84,8.33,6.68,44.67,1.76,0,43.23,1
6037503602,Los Angeles,11.90288337,0.048,656.94,0,3307.091349,0.154,794.3158111,38.56,10,3,0.5,0,0,45.03,30.79,3.2,13.09,7,5.5,11.1,3.7,Low,4212,8.24,73.46,18.3,48.05,35.94,0.45,0,11.97,0
6037920114,Los Angeles,9.79582903,0.064,599.99,0,262.6840007,0.148,1672.068251,16.47,0,3.75,1.38,7,0,44.34,23.95,4.81,9.47,2.3,4.5,10.7,4.3,Middle,6518,16.86,78.03,5.11,19.45,57.73,2.55,0,16.85,0
6001421900,Alameda,9.084806909,0.029,110.41,0,841.7330118,0.24,556.97488,67.62,1.65,56.25,1.62,12,0,42.7,53.67,3.11,9.25,2.5,5.7,14.5,5.6,Low,4171,12.68,70.18,17.14,10.67,56.22,5.35,0,17.94,1
6039000103,Madera,6.378759567,0.057,778.36,0,1.74e-5,0.005,285.7191672,35.61,0,38,0.5,1,14,34.8,34.73,3.82,10.38,6.2,0,45.3,6.2,Middle,5197,9.54,60.61,29.84,8.91,89.46,0,0.83,0,0
6037265520,Los Angeles,11.78930596,0.049,440.64,0,1564.220317,0.399,3332.664108,26.73,10.9,2,0.175,0,4.2,49.86,14.36,3.97,7.64,1.9,6.6,14.4,7.1,Middle,5059,10.87,73.57,15.56,4.33,58.19,10.26,0,15.04,1
6067008010,Sacramento,8.521409053,0.051,512.15,0,45.3116328,0.155,1185.703092,40.79,12,2,0.15,5,0,37.92,43.88,3.92,10.84,5.8,3.5,23,5.6,Low,4721,10.27,67.1,22.62,15.67,77.57,0.28,0,3.13,0
6085503511,Santa Clara,8.685259578,0.041,291.53,0,138.5976664,0.251,1417.901914,39.77,0,0,0,1,0,24.81,30.93,6.97,8.03,25.1,17.9,18.4,6.6,Middle,3620,7.87,77.38,14.75,45.17,7.96,1.99,0,43.2,1
6059062612,Orange,11.14605794,0.049,411.38,14.81,1811.986654,0.215,2908.722772,26.51,0,16,0.17,10,1.5,54.68,18.54,2.69,6.09,4.2,11.5,16.5,4.7,Middle,8225,8.78,74.84,16.38,8.74,60.63,1.02,0,24.92,1
6063000501,Plumas,7.299437973,0.048,299.74,0,0.872840333,0.019,128.2515125,55.86,10,3,0,1,2,23.27,97.26,6.42,23.89,6.5,0,24,1.4,Low,2145,6.71,65.36,27.93,13.05,85.55,0,0,0.19,2
6037271902,Los Angeles,11.63080991,0.046,440.64,0,1920.929342,0.171,740.905432,56.93,0,0,0.135,0,0,34.71,35.21,3.64,12.29,13.5,3.1,22.9,4.9,Middle,4207,7.87,78.3,13.83,33.35,43.97,6.73,0.5,10.32,1
6037700600,Los Angeles,11.60694985,0.051,669,0,1421.579346,0.154,1070.527805,56.59,19,3.6,0.15,0,8,51.82,16.23,3.74,9.16,5.5,2.7,15.8,5.8,Middle,5021,7.97,65.13,26.91,2.91,89.62,0.66,0,1.49,0
6073016809,San Diego,9.288666832,0.054,409.29,0,148.2010574,0.199,745.0170654,31.73,0,5,0.2,6,0,34.63,47.94,3.7,12.38,7.9,2.4,20.2,4.8,Middle,5625,14.54,71.24,14.22,20.2,71.32,1.6,0,3.38,0
6073009101,San Diego,9.691093888,0.044,312.86,0,188.9641012,0.269,1413.283731,43.67,7,23,0.35,18,6,51.71,31.13,4.48,7.7,4.3,3.6,13.6,4,Low,6153,7.83,71.83,20.33,11.7,78.77,1.85,0,2.96,1
6087121402,Santa Cruz,6.041988861,0.036,274.75,0,38.5308329,0.152,1258.839966,49.09,7,30,0.375,8,0,36.1,31.26,2.86,9.84,12.1,9.6,29.7,2.9,Middle,4309,13.14,76,10.86,37.6,53.72,0.26,0.23,6.78,0
6037403304,Los Angeles,12.17233228,0.051,435.94,0,2208.608032,0.25,2170.498577,13.17,0.1,0,0.055,0,1,40.51,22.01,3.99,8.81,5.5,16.4,13.1,5.5,Middle,4863,8.12,68.99,22.89,15.3,13.7,0.95,0.82,65.04,0
6065045215,Riverside,7.321645405,0.065,448.56,1.55,0.084968333,0.176,1239.71709,21.17,0,0,0.15,9,0,35.69,26.9,4.86,9.22,7.8,9.7,26.1,5.1,Low,9761,14.12,72.67,13.22,33.03,52.88,0.7,0,8.04,0
6067009329,Sacramento,8.634199661,0.046,406.54,0,79.14286803,0.103,464.7684178,29.98,0,0,0.1,0,0,19.38,48.08,7.25,17.02,12.9,9.7,44.4,5.2,Middle,2327,18.05,76.88,5.07,17.28,23.85,13.02,0.17,37.9,0
6043000200,Mariposa,7.956726817,0.057,552.05,0,0.121481033,0.001,43.14491882,18.15,0,6,0,5,8,25.51,37.24,4.27,14.57,11.8,1.1,39,10.1,Middle,2857,4.62,55.93,39.45,18.55,73.78,0.56,1.09,1.79,2
6083002932,Santa Barbara,6.761949961,0.039,433.72,2.98,12.83381677,0.012,1026.307329,35.97,23.4,51.75,1.3,4,8,45.49,29.99,2.44,11.14,14.7,7.8,20.6,1.9,Low,2273,10.34,70.44,19.23,33.35,57.24,0.26,0.26,7.57,0
6019005907,Fresno,13.3562064,0.062,519.7,2.24,809.8090211,0.108,401.2632694,13,0,0,0.16,0,0,36.49,35.57,6.04,8.59,5.1,3,12.9,5.9,Low,3485,13.72,77.19,9.1,20.92,57.39,1.55,0,14.69,0
6073020806,San Diego,7.388704937,0.054,235.75,0.19,5.795966633,0.042,469.6738906,44.47,0,0,0.6,0,7,27.57,25.42,6.99,12.28,13.1,4,25.2,3.6,Middle,6379,14.08,72.19,13.73,41.84,54.1,0.96,0,0.94,0
6085509105,Santa Clara,8.147464677,0.038,428.59,0,181.3730011,0.422,1839.369511,33.59,10.1,39,0.725,4,0,44.16,12.34,6.07,5.96,3.3,3.9,8.8,7.9,Low,7166,13.86,73.32,12.82,16.97,38.63,0.7,0,41.1,0
6001407700,Alameda,8.831343231,0.031,110.41,0,429.8896586,0.226,282.6156138,69.52,0,10.8,0.06,0,0.2,24.72,83.45,7.84,9.36,8,1.2,17,3.2,Middle,4122,11.67,71.98,16.35,16.21,30.01,42.94,0,5.41,1
6039000102,Madera,7.002161462,0.049,753.2,0.16,32.43183453,0.002,287.2912167,41.93,6,17,0.1,4,7.1,37.07,18.5,5.52,9.01,8.5,0.9,25.2,8.1,Low,4060,10.3,58.94,30.76,14.29,74.85,0,5.52,1.4,0
6079010602,San Luis Obispo,7.689424145,0.035,408.95,1.82,21.09069437,0.033,778.0401691,47.66,2.25,1.5,0.2,10,0,29.62,39.13,5.52,9.49,3.6,0.4,25.1,7.7,Middle,3713,6.63,59.41,33.96,10.18,79.13,0,3.12,4.58,0
6037277000,Los Angeles,11.85384693,0.044,440.64,0,2638.783366,0.169,1449.589594,54.76,9,69.75,0.695,0,0.5,52.99,24.93,3.53,11.05,0.5,2,7.1,6.2,Middle,5566,12.47,68.24,19.3,10.65,66.78,3.79,1.22,13.33,1
6065042728,Riverside,10.00613436,0.064,237.48,0.12,95.53493247,0.085,1300.758746,23.44,0,3,0.135,0,2,33.33,40.53,3.06,16.71,16.6,1.1,28.1,4,Low,2229,13.64,70.44,15.93,49.17,43.07,2.06,1.12,1.75,0
6033001300,Lake,3.914912252,0.037,351.27,28.05,6.11333e-4,0.014,190.552903,30.94,9,7,0.1,6,7,29.81,50.19,4.67,11.74,12.8,4.2,20.8,2.6,Middle,7108,10.76,69.47,19.77,17.11,79.56,0,0.35,0.74,2
6073020903,San Diego,5.64377217,0.056,509.1,0.07,1.822776667,0.001,87.30333366,43.69,0,6,0.3,24,14.4,36.16,19.92,3.96,10.77,12.1,1.4,42.5,7.3,Low,3045,7.09,60.43,32.48,11.46,68.87,1.18,16.09,1.9,0
6073015403,San Diego,9.738341381,0.05,408.31,0,189.5435994,0.034,783.3442588,38.47,0,0,0.2,1,0,26.27,50.71,8.09,13.35,3.9,4.1,12.6,1.9,Middle,2619,11.26,66.36,22.37,5.69,85.26,0.61,0.34,4.09,0
6097151308,Sonoma,7.608067414,0.032,406.39,0.13,0.094904933,0.102,1150.846509,38.25,0,31.3,0.46,4,0,31.94,38.41,4.6,11.72,14.3,0,27.6,0.6,High,5119,11.15,66.95,21.9,16.64,72.2,2.21,0,2.27,0
6037143800,Los Angeles,11.44967872,0.055,722.74,0.02,1191.17098,0.135,1805.866348,44.93,4.5,6.75,0.635,6,0.4,54.43,22.29,4.46,10.6,2.1,3,9.9,5,Low,5770,12.36,71.8,15.84,11.13,75.3,4.64,0,6.62,1
